metric,end,start,value,source,tag
PaymentsToAcquireInvestments,2026-06-30,2026-01-01,75.438,SEC 0001628280-26-053603 (2026-08-06); companyfacts,PaymentsToAcquireInvestments
ProceedsFromSaleMaturityAndCollectionsOfInvestments,2026-06-30,2026-01-01,79.584,SEC 0001628280-26-053603 (2026-08-06); companyfacts,ProceedsFromSaleMaturityAndCollectionsOfInvestments
IncreaseDecreaseInContractWithCustomerLiability,2026-06-30,2026-01-01,8.897,SEC 0001628280-26-053603 (2026-08-06); companyfacts,IncreaseDecreaseInContractWithCustomerLiability
IncreaseDecreaseInAccountsReceivable,2026-06-30,2026-01-01,-31.848,SEC 0001628280-26-053603 (2026-08-06); companyfacts,IncreaseDecreaseInAccountsReceivable
IncreaseDecreaseInAccountsPayable,2026-06-30,2026-01-01,6.188,SEC 0001628280-26-053603 (2026-08-06); companyfacts,IncreaseDecreaseInAccountsPayable
IncreaseDecreaseInAccruedLiabilities,2026-06-30,2026-01-01,7.159,SEC 0001628280-26-053603 (2026-08-06); companyfacts,IncreaseDecreaseInAccruedLiabilities
WeightedAverageNumberOfDilutedSharesOutstanding,2026-06-30,2026-01-01,50.08,SEC 0001628280-26-053603 (2026-08-06); companyfacts,WeightedAverageNumberOfDilutedSharesOutstanding
CashAndCashEquivalentsAtCarryingValue,2026-06-30,,1180.887,SEC 0001628280-26-053603 (2026-08-06); companyfacts,CashAndCashEquivalentsAtCarryingValue
DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent,2026-06-30,,132.979,SEC 0001628280-26-053603 (2026-08-06); companyfacts,DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent
LongTermInvestments,2026-06-30,,102.693,SEC 0001628280-26-053603 (2026-08-06); companyfacts,LongTermInvestments
AccountsReceivableNetCurrent,2026-06-30,,130.979,SEC 0001628280-26-053603 (2026-08-06); companyfacts,AccountsReceivableNetCurrent
CapitalizedContractCostNetCurrent,2026-06-30,,102.689,SEC 0001628280-26-053603 (2026-08-06); companyfacts,CapitalizedContractCostNetCurrent
PrepaidExpenseAndOtherAssetsCurrent,2026-06-30,,20.873,SEC 0001628280-26-053603 (2026-08-06); companyfacts,PrepaidExpenseAndOtherAssetsCurrent
IncomeTaxReceivable,2026-06-30,,2.707,SEC 0001628280-26-053603 (2026-08-06); companyfacts,IncomeTaxReceivable
PropertyPlantAndEquipmentNet,2026-06-30,,42.619,SEC 0001628280-26-053603 (2026-08-06); companyfacts,PropertyPlantAndEquipmentNet
IntangibleAssetsNetExcludingGoodwill,2026-06-30,,27.598,SEC 0001628280-26-053603 (2026-08-06); companyfacts,IntangibleAssetsNetExcludingGoodwill
OperatingLeaseRightOfUseAsset,2026-06-30,,74.83,SEC 0001628280-26-053603 (2026-08-06); companyfacts,OperatingLeaseRightOfUseAsset
Goodwill,2026-06-30,,35.335,SEC 0001628280-26-053603 (2026-08-06); companyfacts,Goodwill
RestrictedCashNoncurrent,2026-06-30,,2.735,SEC 0001628280-26-053603 (2026-08-06); companyfacts,RestrictedCashNoncurrent
DeferredIncomeTaxAssetsNet,2026-06-30,,206.039,SEC 0001628280-26-053603 (2026-08-06); companyfacts,DeferredIncomeTaxAssetsNet
OtherAssetsNoncurrent,2026-06-30,,10.99,SEC 0001628280-26-053603 (2026-08-06); companyfacts,OtherAssetsNoncurrent
Assets,2026-06-30,,2073.953,SEC 0001628280-26-053603 (2026-08-06); companyfacts,Assets
AccountsPayableCurrent,2026-06-30,,16.196,SEC 0001628280-26-053603 (2026-08-06); companyfacts,AccountsPayableCurrent
AccruedLiabilitiesCurrent,2026-06-30,,55.429,SEC 0001628280-26-053603 (2026-08-06); companyfacts,AccruedLiabilitiesCurrent
ContractWithCustomerLiabilityCurrent,2026-06-30,,505.102,SEC 0001628280-26-053603 (2026-08-06); companyfacts,ContractWithCustomerLiabilityCurrent
AccruedIncomeTaxesCurrent,2026-06-30,,1.106,SEC 0001628280-26-053603 (2026-08-06); companyfacts,AccruedIncomeTaxesCurrent
OperatingLeaseLiabilityNoncurrent,2026-06-30,,86.136,SEC 0001628280-26-053603 (2026-08-06); companyfacts,OperatingLeaseLiabilityNoncurrent
DeferredIncomeTaxLiabilitiesNet,2026-06-30,,0.242,SEC 0001628280-26-053603 (2026-08-06); companyfacts,DeferredIncomeTaxLiabilitiesNet
Liabilities,2026-06-30,,664.211,SEC 0001628280-26-053603 (2026-08-06); companyfacts,Liabilities
StockholdersEquity,2026-06-30,,1409.742,SEC 0001628280-26-053603 (2026-08-06); companyfacts,StockholdersEquity
