,terminal_growth,wacc,value_per_share
0,0.02,0.05276376244240655,210.48448802718872
1,0.02,0.06276376244240654,166.2494587746593
2,0.02,0.07276376244240655,138.80100844672992
3,0.02,0.08276376244240655,120.11505527269595
4,0.02,0.09276376244240654,106.57855365443179
5,0.02,0.10276376244240655,96.32465915823028
6,0.02,0.11276376244240655,88.29152016604041
7,0.025,0.05276376244240655,242.7002236463729
8,0.025,0.06276376244240654,184.07648897439358
9,0.025,0.07276376244240655,150.02200781538917
10,0.025,0.08276376244240655,127.77611995868689
11,0.025,0.09276376244240654,112.1106111703361
12,0.025,0.10276376244240655,100.48655408317498
13,0.025,0.11276376244240655,91.5221915162172
14,0.03,0.05276376244240655,289.0681609065168
15,0.03,0.06276376244240654,207.34460068333237
16,0.03,0.07276376244240655,163.86695763363107
17,0.03,0.08276376244240655,136.88914036795543
18,0.03,0.09276376244240654,118.52407816531372
19,0.03,0.10276376244240655,105.22042258194894
20,0.03,0.11276376244240655,95.14321140237618
21,0.035,0.05276376244240655,361.53864114452233
22,0.035,0.06276376244240654,238.9934611316419
23,0.035,0.07276376244240655,181.3781072483992
24,0.035,0.08276376244240655,147.91009682398263
25,0.035,0.09276376244240654,126.04783762113512
26,0.035,0.10276376244240655,110.65287515105071
27,0.035,0.11276376244240655,99.22987489584399
28,0.04,0.05276376244240655,490.78742681167614
29,0.04,0.06276376244240654,284.5454979675905
30,0.04,0.07276376244240655,204.2339268001289
31,0.04,0.08276376244240655,161.50822512518357
32,0.04,0.09276376244240654,134.997530162004
33,0.04,0.10276376244240655,116.95086738152733
34,0.04,0.11276376244240655,103.8781728288039
