,method,price_start,price_end,price_count,return_count,beta,blume_beta,alpha_monthly,r_squared,correlation,standard_error,p_value,ci95_low,ci95_high,duol_mean,spy_mean,duol_vol,spy_vol
0,Course: unadjusted monthly closes,2021-08,2026-08,61,60,0.8517817015074046,0.900693740009961,0.00979244684686329,0.04509932268667439,0.21236601113802178,0.5146457612644473,0.10330944799751264,-0.17839371695687445,1.8819571199716836,0.018240887861321477,0.009918551900688775,0.18521060351832583,0.046176663598250116
1,Robustness: adjusted monthly closes,2021-08,2026-08,61,60,0.890732581566972,0.9267908296498713,0.008409369650291192,0.048541112487639565,0.22032047677789635,0.5178136474512144,0.09073175226264034,-0.14578405006514084,1.9272492131990848,0.018240887861321477,0.011037564376206751,0.18521060351832583,0.04581137966200173
