year,mau,dau,paid_subscribers,bookings,subscription_bookings,subscription_revenue,mau_growth,dau_growth,paid_subscribers_growth,bookings_growth,subscription_revenue_growth,paid_to_mau,dau_to_mau,revenue_per_yearend_payer_proxy
2023,88.4,26.9,6.6,622.181,495.497,404.684,,,,,,0.07466063348416288,0.3042986425339366,61.31575757575758
2024,116.7,40.5,9.5,870.601,730.737,607.531,0.3201357466063348,0.5055762081784387,0.43939393939393945,0.39927288039975495,0.5012478872404145,0.08140531276778064,0.34704370179948585,63.950631578947366
2025,133.1,52.7,12.2,1158.425,996.268,873.442,0.14053127677806332,0.3012345679012347,0.28421052631578947,0.33060380128210287,0.43769124538500925,0.09166040570999248,0.3959429000751315,71.59360655737706
