year,period_ebit,nopat,period_da,period_capex,delta_nwc,ufcf
2026,43.434999999999945,33.01059999999996,8.302671884532318,19.25753623544583,13.656428324702858,8.399307324383589
2027,185.15380000000005,140.71688800000004,19.753992823748135,37.60959275782608,-55.53532290155363,178.39661096747574
2028,272.60336399999994,207.17855663999995,22.914631675547835,43.62712759907825,-58.250383132296065,244.7164438487656
2029,373.38400160000003,283.77184121600004,25.893533793369052,49.29865418695842,-54.90098610218905,315.26770692459974
2030,462.06270197999993,351.16765350479994,28.482887172705958,54.22851960565426,-47.72162638113349,373.14364745298514
