,year,future_ufcf,discount_period,discount_factor,pv_ufcf
0,2026,4.610489346536644,0.27671232876712326,0.9782370243418574,4.510151379115841
1,2027,178.39661096747574,1.2767123287671234,0.9034630251526276,161.17474182165205
2,2028,244.7164438487656,2.2794520547945205,0.8342228052289264,204.1480382731643
3,2029,315.26770692459974,3.2794520547945205,0.7704568938908314,242.90017822121206
4,2030,373.14364745298514,4.279452054794521,0.7115650898335387,265.5159930206977
